t,rms,p2p,crest,kurtosis,equipment
66.0,0.13408249113867457,1.245413,5.348177781529609,3.5857053001223673,MOTOR_001
66.25,0.13601398294232286,1.242622,5.018594303568466,3.316723007539479,MOTOR_001
66.5,0.13878401181497005,1.242622,4.9184267775027015,3.425444663727095,MOTOR_001
66.75,0.13626331586488394,1.088233,4.326843187821923,3.4874515837557998,MOTOR_001
67.0,0.1371626839196329,1.153767,4.706710174745957,3.471427908162948,MOTOR_001
67.25,0.134472206819077,1.153767,4.800880533392225,3.3927232854090303,MOTOR_001
67.5,0.13528782132743464,1.226758,5.58780526275428,3.5688650566165796,MOTOR_001
67.75,0.1380904437992384,1.2928899999999999,5.474397642598997,3.5726759108156685,MOTOR_001
68.0,0.13814242183608372,1.09525,4.041640450335311,3.2745418921602014,MOTOR_001
68.25,0.1388503925895994,1.1771099999999999,4.561175436297895,3.2438987632162526,MOTOR_001
68.5,0.1388356605204612,1.263001,5.180311724695577,3.290816402835174,MOTOR_001
68.75,0.13681355030365736,1.198118,5.256876957024437,3.2807225706885372,MOTOR_001
69.0,0.1354891428405211,1.195881,5.291752423616133,3.142518875055471,MOTOR_001
69.25,0.13744987673017298,1.06991,4.321495327100629,3.1214264773516227,MOTOR_001
69.5,0.13732915489516054,1.04647,4.154609415863419,3.259788643367673,MOTOR_001
69.75,0.13464544540788922,1.060715,4.066435357997776,3.1741164407933025,MOTOR_001
70.0,0.13171205547024256,1.066401,4.198431176445611,3.114465447220047,MOTOR_001
70.25,0.13174674789028712,1.079157,4.29414774223591,3.1789953941321993,MOTOR_001
70.5,0.13299166229766154,1.118442,4.696008676109175,3.3342749106100213,MOTOR_001
70.75,0.1331377101298384,1.223957,4.690857303997091,3.268645614459809,MOTOR_001
71.0,0.13253975183318917,1.172523,4.522620509765418,3.2019840126999752,MOTOR_001
71.25,0.13097806870496678,1.140704,4.375511149816395,3.2297917756645282,MOTOR_001
71.5,0.1315630321184227,1.170997,4.490927204141755,3.1943712724743847,MOTOR_001
71.75,0.13201872086990496,1.170997,4.4754258798055675,3.378096741388685,MOTOR_001
72.0,0.1304863326552761,1.109994,4.45644373756938,3.263008732124983,MOTOR_001
72.25,0.13015218565913378,1.120463,4.922130172118568,3.2597019878256708,MOTOR_001
72.5,0.13394432323705668,1.2651590000000001,4.78277828069063,3.4446654890809283,MOTOR_001
72.75,0.13584530133395117,1.245275,4.597383890847268,3.2477098584038937,MOTOR_001
73.0,0.13121328493529438,1.055307,4.28424606759304,3.171937271245296,MOTOR_001
73.25,0.13212497588833036,1.468137,6.005215854651132,3.665928062444133,MOTOR_001
73.5,0.13275584785526917,1.468137,5.976678337100521,3.616956654299742,MOTOR_001
73.75,0.12826371611510942,1.1190250000000002,4.418669731129336,3.3211204449962253,MOTOR_001
74.0,0.12941395841783257,1.175079,4.700605772647289,3.5046167003409443,MOTOR_001
74.25,0.1306680335749753,1.12108,4.655492115070003,3.3810509901546255,MOTOR_001
74.5,0.13083096718511114,1.161255,4.723231917453282,3.458690270552118,MOTOR_001
74.75,0.13288093583443036,1.296271,5.104765373154763,3.510075006155613,MOTOR_001
75.0,0.13466258070994191,1.2848899999999999,5.0372270932568,3.5751005018714097,MOTOR_001
75.25,0.1371437495370209,1.438141,6.059320988417912,3.8584852734081365,MOTOR_001
75.5,0.1368283952642899,1.438141,6.073286165454852,3.8510233293504297,MOTOR_001
75.75,0.13297483957234588,1.138601,4.4821411472787345,3.4470864003500927,MOTOR_001
76.0,0.1333984751478676,1.046608,4.076823212538,3.531823649960289,MOTOR_001
76.25,0.13585939782218875,1.149767,4.290016070605679,3.644962811046013,MOTOR_001
76.5,0.13878823088216133,1.2752249999999998,5.103437052968721,3.7311257864377723,MOTOR_001
76.75,0.14143920099630752,1.295754,5.007784228210474,3.898434475878147,MOTOR_001
77.0,0.14006224998852965,1.2708080000000002,4.87890919970201,3.5155795212103222,MOTOR_001
77.25,0.13909335889011876,1.329751,5.177378745802643,3.406993625574922,MOTOR_001
77.5,0.1372617996638982,1.329751,5.246463340589631,3.467183858597495,MOTOR_001
77.75,0.13564839784090293,1.141716,4.771011013038678,3.412630114837702,MOTOR_001
78.0,0.14456169483190517,1.810621,6.283061367370866,4.33138250429073,MOTOR_001
78.25,0.1467069061620115,1.810621,6.1911877481551985,4.2479888159126835,MOTOR_001
78.5,0.14322292804627382,1.229195,4.905960306669491,3.6434913621199976,MOTOR_001
78.75,0.14215201925804904,1.281491,4.942919584733329,3.737686011055325,MOTOR_001
